类型,商品,到手价,佣金率,佣金,已售量,商品结束时间,近2小时销售量,近24小时销售量,店铺信息,描述相符,物流服务,服务态度,当前时间
生鲜,【10.9元1个】海南切皮椰青新鲜椰子优质应季鲜嫩孕妇食用水果,10.9,20.00%,2.18,已售：416,结束：2023-07-31,,,安优果,4.65,4.97,4.5,2023-04-18 21:55:49.021
生鲜,俊杰小萌鱼馄饨上汤云吞速食云吞懒人抄手半成品夜宵小馄饨,32.9,23.00%,7.57,已售：548,结束：2024-02-17,,,俊杰生鲜旗舰店,4.99,4.86,4.92,2023-04-18 21:55:49.134
生鲜,王掌柜【顺丰包邮】正宗山东烟台红富士冰糖心脆甜不打蜡3/5斤,28.8,15.00%,4.32,已售：2.0万,结束：2023-04-30,,,王掌柜生鲜旗舰店,4.89,4.99,4.78,2023-04-18 21:55:49.262
生鲜,新鲜洋槐花时令野菜现摘现发蔬菜头茬新鲜槐花花骨朵2斤顺丰包邮,29.8,26.00%,7.75,已售：20,结束：2023-04-30,,,橙大福农产个体店,4.87,4.88,4.79,2023-04-18 21:55:49.380
生鲜,500g牛肉卷雪花肥牛涮火锅食材 牛肉片烧烤 肥牛卷 鲜嫩烤涮肥牛,27.02,11.00%,2.97,已售：216,结束：2023-10-15,,,至禾食品企业店,4.53,4.51,4.78,2023-04-18 21:55:49.509
生鲜,【益客】超燃腿排速冻鲜嫩鸡腿汉堡健身简餐半成品100g*10,69.9,25.00%,17.48,已售：157,结束：2023-08-31,1,8,益客旗舰店,4.86,4,4.75,2023-04-18 21:55:49.618
生鲜,网红拇指生煎包珍珠小笼包小吃店酒店外卖家庭街边冷冻半成品,17.1,15.00%,2.56,已售：496,结束：2024-01-31,,,闽鲜源生鲜旗舰店,4.51,4.98,4.78,2023-04-18 21:55:49.717
生鲜,榴六六严选【10盒装巨划算】泰国金枕无核树熟榴莲果肉100g/盒,199,16.00%,31.84,已售：87,结束：2023-05-31,,,榴六六生鲜旗舰店,4.74,4.83,4.82,2023-04-18 21:55:49.809
生鲜,【工厂】老诚一锅羊蝎子火锅多肉羊肉羊杂汤牛排烤肠牛肉丸羊排,79,22.00%,17.38,已售：1.2万,结束：2024-01-07,4,9,老诚一锅好物严选专卖店,4.62,4.97,4.76,2023-04-18 21:55:49.906
生鲜,正大休闲小食组6袋 洋葱炸鸡圈*2+美味鸡块*2 +鸡米花*2 鲜嫩酥脆,69.8,25.00%,17.45,已售：765,结束：2023-07-30,10,,正大官方旗舰店,4.99,4.97,4.96,2023-04-18 21:55:50.002
生鲜,邑合酣夜明珠松花皮蛋糖心优质湖北鸭蛋腌制10枚20枚,22.9,17.00%,3.89,已售：3357,结束：2024-02-29,,,邑合酣旗舰店,4.88,4.05,4.59,2023-04-18 21:55:50.101
生鲜,南极磷虾米虾皮100g袋新鲜淡干即食烧菜煲汤配粥海鲜水产干货,9.9,30.00%,2.97,已售：78,结束：2023-06-30,,,太空刺猬海味企业店,4.92,4.84,4.73,2023-04-18 21:55:50.203
生鲜,优信潮汕黄金鱼蛋250g/包【可关东煮/麻辣烫火锅丸子】冷冻真空,59,20.00%,11.8,已售：488,结束：2023-06-30,,,潮味优信官方旗舰店,4.99,4.91,4.98,2023-04-18 21:55:50.298
生鲜,【宠粉福利】桂林特产原味柿子片200克柿子丁柿饼片糖心无核脆柿,11.9,35.00%,4.16,已售：540,结束：2024-03-31,,,倾果乐供应链个体店,4.94,4.33,4.68,2023-04-18 21:55:50.405
生鲜,【达人专属】涪陵去皮榨菜丝微辣清淡小包装50g*50包涪陵榨菜下饭,19.9,20.00%,3.98,已售：8221,结束：2023-08-31,4,42,观哲商贸的小店,4.94,4.94,4.81,2023-04-18 21:55:50.510
生鲜,【小鲜卤】营养爆汁高品质黑猪肉烤肠200g/盒（50g*4根）,79.9,18.00%,14.38,已售：1759,结束：2024-03-08,,,小鲜卤旗舰店,4.75,4.98,4.88,2023-04-18 21:55:50.609
生鲜,正宗云南沃柑精选应季鲜5斤现摘水果砂糖橙子蜜桔子柑橘整箱包邮,25.8,20.00%,5.16,已售：34,结束：2023-08-01,,,农阿伯生鲜店,4,4.72,3.96,2023-04-18 21:55:50.707
生鲜,星球煮正宗招牌乳鸽 粤式酱香脆皮鸽子200g*3只礼品装加热即食,129,18.00%,23.22,已售：20,结束：2023-06-30,,,星球煮旗舰店,4.97,4.97,4.93,2023-04-18 21:55:50.806
生鲜,深海鳕鱼排 宝宝辅食 空气炸锅快手菜 五星酒店同款 大块金黄香脆,48.8,10.00%,4.88,已售：1370,结束：2023-10-15,5,34,海天下旗舰店,4.85,4.93,4.95,2023-04-18 21:55:50.913
生鲜,天海藏2袋装原切牛肋排1.25kg/袋 肉质紧实浓郁,139.9,12.00%,16.79,已售：10,结束：2026-04-30,3,,天海藏官方旗舰店,4.94,4.9,4.99,2023-04-18 21:55:51.017
生鲜,【舒汇】老坛酸菜480g 速食方便速冻港式点心美食80g*6只装早餐,19.8,20.00%,3.96,已售：516,结束：2025-03-31,,,舒汇生鲜旗舰店,4.99,4.87,4.9,2023-04-18 21:55:51.147
生鲜,珍膳良【紫薯包椰奶包】 营养早餐速冻80g纯正香甜皮薄椰香,23.8,15.00%,3.57,已售：4134,结束：2024-10-17,,,珍膳良生鲜,4.89,4.48,3.62,2023-04-18 21:55:51.275
生鲜,思念手打天下水饺400g菌菇三鲜玉米蔬菜水饺*5 120g小云吞*1共6袋,69.9,20.00%,13.98,已售：254,结束：2023-04-30,,,思念速食旗舰店,4.93,4.88,4.99,2023-04-18 21:55:51.411
生鲜,【中大果】脆甜山东奶油苹果黄金富士水果新鲜多汁4.5斤装7-12个,39.9,15.00%,5.98,已售：42,结束：2023-05-31,18,,老范儿的小店,4.6,4.84,4.48,2023-04-18 21:55:51.544
生鲜,海小白海带 盐渍海带 盐渍整颗海带 大连新鲜含箱5斤鲜嫩优质营养,23.9,25.00%,5.98,已售：30,结束：2023-10-31,,,海小白,4.72,4.76,4.58,2023-04-18 21:55:51.681
生鲜,蜜汁目鱼200g/包 活动价99元/7包  顺丰冷链  开袋即食原味新鲜,99,15.00%,14.85,已售：351,结束：2023-11-30,1,12,杭州嗨优食品企业店,4.73,4.76,4.77,2023-04-18 21:55:51.789
生鲜,青草家原切乌拉圭进口五肋牛排2.5kg,149,20.00%,29.8,已售：26,结束：2023-06-30,1,6,青草家大膳实业专卖店,4.49,4.73,4.86,2023-04-18 21:55:51.886
生鲜,运淼深山糯米笋火锅食材免洗免切260g/袋*1袋*3袋*5袋原味鲜嫩,9.9,20.00%,1.98,已售：3753,结束：2023-05-31,12,,运淼食品旗舰店,4.99,4.88,4.73,2023-04-18 21:55:51.978
生鲜,黄膘牛排草饲牛排原切带骨牛排炖煮牛寸排牛肋排5斤新鲜生鲜特产,235,5.00%,11.75,已售：63,结束：2023-06-30,,,蒙贝恩生鲜旗舰店,4.75,4.75,4.35,2023-04-18 21:55:52.059
生鲜,【顺丰】临安小香薯 小果(手指薯)5斤装约55个（介意断果慎拍）,23.8,16.00%,3.81,已售：1316,结束：2023-12-10,7,42,小不溜生鲜旗舰店,4.19,4.58,4.76,2023-04-18 21:55:52.150
生鲜,【需催熟】广西发货 金煌芒 新鲜采摘大青芒 应季水果 4.5斤,29.9,20.00%,5.98,已售：33,结束：2023-05-31,21,,蜜果儿,4.28,4.91,4.43,2023-04-18 21:55:52.233
生鲜,【5条起拍】楚品鲜阳干大白刁风干鱼湖北大翘嘴鱼淡水鱼250g/只起,69,18.00%,12.42,已售：2035,结束：2023-09-30,,,楚品鲜旗舰店,4.74,4.71,4.93,2023-04-18 21:55:52.316
生鲜,罗牛山【达人专属】3-4人份海南糟粕醋文昌鸡火锅套餐酸辣爽口,128,15.00%,19.2,已售：446,结束：2023-07-31,,,罗牛山优选,4.77,4.89,4.94,2023-04-18 21:55:52.408
生鲜,野生海蜇皮3-5斤口感爽脆盐渍海蜇非即食海鲜菜美食新鲜凉拌腌制,158,12.00%,18.96,已售：168,结束：2023-05-31,,,徐家小铺,4.57,4.54,4.82,2023-04-18 21:55:52.489
生鲜,新人【39元10包】霞浦压缩家常海带丝高倍泡发鲜嫩脆爽免洗16g/包,29,42.00%,12.18,已售：1078,结束：2025-12-31,,,小陈菇事优选店,4.9,4.98,4.53,2023-04-18 21:55:52.585
生鲜,雍运猪肉香菇烧麦广式糯米烧麦早餐速冻半成品方便2斤/4斤装t,19.8,8.00%,1.58,已售：152,结束：2023-06-30,99,103,觅味个体店,4.99,4.85,4.76,2023-04-18 21:55:52.698
生鲜,野三坡烘干压缩海带丝15g干货圆饼即食海带苗嫩下饭菜免洗脆爽,29.9,30.00%,8.97,已售：477,结束：2023-05-31,3,16,野三坡官方旗舰店,4.84,4.9,4.73,2023-04-18 21:55:52.796
生鲜,猫小娜压缩紫菜头水无沙免洗宝宝海鲜蔬菜虾皮蛋花汤10包50克/盒,19.9,25.00%,4.98,已售：2704,结束：2023-10-31,4,31,猫小娜旗舰店,4.98,4.97,4.59,2023-04-18 21:55:52.905
生鲜,昌古味道绍兴母子酱鸭腿 传承母子酱油酱制 酱香浓郁 2只装 320克,24.8,20.00%,4.96,已售：2419,结束：2023-06-30,29,,绍兴安昌古镇特产店,4.99,4.69,4.96,2023-04-18 21:55:53.007
生鲜,【致冀农场】陕西徐香猕猴桃|产地直发|徐香猕猴桃|5斤包邮到家,49.9,21.00%,10.48,已售：1077,结束：2024-04-30,,,致冀农场企业店,4.77,4.67,4.56,2023-04-18 21:55:53.109
生鲜,味之素 南瓜蛋挞 紫薯蛋挞 日料同款甜品蛋糕冷冻即食新鲜营养,69.9,15.00%,10.48,已售：16,结束：2024-03-12,,,集食鲜,4.95,4.88,4.88,2023-04-18 21:55:53.218
生鲜,【网红椰子蛋】海南椰子蛋新鲜优质椰子椰青现剥速冻顺丰空运包邮,29.9,10.00%,2.99,已售：635,结束：2023-12-31,32,,安优果,4.65,4.97,4.5,2023-04-18 21:55:53.321
生鲜,【拍1发4】炸鸡套餐鸡米花洋葱圈小酥肉上校鸡块空气炸锅半成品,39.9,30.00%,11.97,已售：148,结束：2023-04-30,3,14,递一棒Lifestyle Relay食品旗舰店,4.78,4.94,4.9,2023-04-18 21:55:53.436
生鲜,膳食肠蔬菜烤肠200*4/袋地道肠纯香肉肠,39.9,35.00%,13.96,已售：3926,结束：2024-03-30,1,6,畅翔生鲜旗舰店,4.68,4.01,4.6,2023-04-18 21:55:53.559
生鲜,麻辣老婆脚鲍鱼螺即食麻辣捞汁小海鲜零食休闲追剧夜宵海螺下酒菜,26.58,25.00%,6.64,已售：26,结束：2024-03-01,,,海味鲜生鲜生产供应链,4.71,4.66,4.76,2023-04-18 21:55:53.672
生鲜,芭乐红心软心番石榴新鲜水果红心芭乐浓郁香甜果园直发净重3/5斤,35.8,22.00%,7.88,已售：26,结束：2024-03-06,,,宜日鲜,4.75,4.77,4.68,2023-04-18 21:55:53.772
生鲜,宜久郎酥皮馅饼牛肉馅饼猪肉馅饼方便早餐半成品速冻牛肉饼,22.9,25.00%,5.72,已售：1.1万,结束：2023-07-30,3,24,宜久郎生鲜旗舰店,4.98,4.94,4.91,2023-04-18 21:55:53.863
生鲜,严选干裙带菜低脂肪无沙免洗鲜嫩海藻高泡发营养裙带菜盒装60g,29.8,55.00%,16.39,已售：8,结束：2023-04-30,,,海岸人家,4.54,4.5,4.59,2023-04-18 21:55:53.946
生鲜,特辣超香小米辣七星椒朝天椒小米椒海椒四川辣椒特产红干辣椒250g,16.8,15.00%,2.52,已售：213,结束：2032-11-30,,,巴蜀乡味,4.99,4.94,4.88,2023-04-18 21:55:54.034
生鲜,青团糯米小丸子500g奶茶配料珍珠小汤圆小料半成品青汁小圆子速煮,18.5,22.00%,4.07,已售：53,结束：2023-09-30,,,焙小姐小北店,4.98,3.56,4.96,2023-04-18 21:55:54.113
生鲜,船小二剁椒鱼子(籽)夹馅虾300克/盘（5只）选2盘优惠腌制生食海鲜,59,25.00%,14.75,已售：50,结束：2023-11-30,2,10,船小二海鲜,4.86,4.76,4.94,2023-04-18 21:55:54.198
生鲜,楚囷仓公安牛三鲜火锅700g牛肉牛肚牛蹄筋,58,20.00%,11.6,已售：1581,结束：2023-10-24,7,,楚囷仓生鲜旗舰店,4.98,4.82,4.72,2023-04-18 21:55:54.286
生鲜,海小白裙带菜 裙带菜梗海白菜 特级梗爽脆鲜嫩 1500g梗段凉拌配菜,23.9,27.00%,6.45,已售：24,结束：2023-10-31,,,海小白,4.72,4.76,4.58,2023-04-18 21:55:54.374
生鲜,红小厨炸鸡小食组合(炸鸡*2+小酥肉*2+鸡米花*2 )               ,49.9,18.00%,8.98,已售：17,结束：2024-04-01,,,红小厨生鲜旗舰店,4.85,4.93,4.99,2023-04-18 21:55:54.478
生鲜,得益优麦谷物低温酸牛奶 生牛乳>80% 搭配饱满燕麦  220g*12盒,70,11.00%,7.7,已售：1580,结束：2023-12-31,,,得益官方旗舰店,4.9,4.55,4.75,2023-04-18 21:55:54.571
生鲜,[粉丝专属]正宗潮汕牛肉2-3人套餐火锅食材雪花牛肉丸肥牛吊龙,119,15.00%,17.85,已售：6,结束：2023-09-30,,,品上丸生鲜旗舰店,4.57,4.63,4.7,2023-04-18 21:55:54.688
生鲜,虞三胖速冻红糖糍粑 手工糯米糍粑酥糯小吃糕点（280g10根）*3袋,28.4,21.00%,5.96,已售：4469,结束：2024-02-27,2,23,乡下头美食,4.94,4.97,4.96,2023-04-18 21:55:54.788
生鲜,【小白心里软】酵母面包天然小麦粉发酵早餐面包点心,34.8,20.00%,6.96,已售：757,结束：2023-05-31,,,小白心里软官方旗舰店,4.97,3.1,4.67,2023-04-18 21:55:54.887
生鲜,四川嫩笋火锅笋农家笋玉兰笋片免切220g/3袋/5袋/8袋,13.9,35.00%,4.86,已售：1136,结束：2024-03-31,3,28,四川农家特色馆,4.69,4.95,4.48,2023-04-18 21:55:54.996
生鲜,【粉丝福利】顺丰微山湖麻辣田螺熟食即食零食爆辣口味嗦螺一斤,5.9,20.00%,1.18,已售：173,结束：2023-04-30,,,蒙泰鲜食品,4.94,4.62,4.73,2023-04-18 21:55:55.095
生鲜,国产燕京纳豆优选小粒纳豆菌拉丝即食日式料理纳豆激酶非日本进口,38,20.00%,7.6,已售：139,结束：2024-02-29,,,燕京中发专卖店,4.81,4.69,4.67,2023-04-18 21:55:55.200
生鲜,Dole/都乐黄糯玉米棒单根200g 6根真空包装玉米棒 香糯非转基因,39.9,10.00%,3.99,已售：573,结束：2023-11-30,8,38,都乐Dole生鲜旗舰店,4.77,4.73,4.81,2023-04-18 21:55:55.307
生鲜,淡水小鱼干小虾货小河虾小虾米干虾嫩子鱼干湖 南特产农家批发,9.9,18.00%,1.78,已售：109,结束：2023-04-30,,,芳妹子土特产,4.88,4.83,4.9,2023-04-18 21:55:55.413
生鲜,广西红美人香蕉10斤红香蕉 美人蕉红皮香蕉整箱批发当季新鲜水果,25.9,21.00%,5.44,已售：872,结束：2023-07-31,5,26,俊怡生鲜旗舰店,4.49,4.99,4.66,2023-04-18 21:55:55.537
生鲜,【美早】大樱桃1斤/2斤/3斤 山东脆甜多汁 J空运包邮 新鲜车厘子,68,10.00%,6.8,已售：21,结束：2023-05-31,,,鲜果罗鲜森,4.68,4.92,4.41,2023-04-18 21:56:16.350
生鲜,肯德基自在厨房葡式蛋挞皮蛋挞液家用烘焙2套装空气炸锅半成品WSS,59.9,20.00%,11.98,已售：39,结束：2023-04-30,,,肯德基自在厨房官方旗舰店,4.99,4.62,4.99,2023-04-18 21:56:16.473
生鲜,西红柿新鲜自然熟生吃沙瓤普罗旺斯西红柿水果番茄4.5斤当天采摘,22.8,20.00%,4.56,已售：249,结束：2023-05-31,,,侬乡食生鲜旗舰店,4.78,4.43,4.78,2023-04-18 21:56:16.574
生鲜,【饮品搭档】安岳 黄 柠檬 皮薄 酸香多汁 6粒 1斤装包邮,0.6,5.00%,0.03,已售：4908,结束：2023-04-20,,,似曾鄉拾旗舰店,4.76,4.71,4.48,2023-04-18 21:56:16.673
生鲜,倾刻主义山东杂粮煎饼纯手工低脂200g小米黑米高粱荞麦红枣燕麦,9.9,32.00%,3.17,已售：6.2万,结束：2023-12-31,10,40,小胖家美食,4.97,4.92,4.55,2023-04-18 21:56:16.785
生鲜,瑞福隆清真0反式脂肪酸葱油饼手抓饼20片简单营养早餐饼半成品,29.8,30.00%,8.94,已售：133,结束：2024-08-31,2,16,瑞福隆旗舰店,4.88,4.94,4.86,2023-04-18 21:56:16.897
生鲜,【现挖现发】山东农产品香甜紫薯5斤装沙地紫薯,5.18,20.00%,1.04,已售：150,结束：2023-05-31,70,136,北斗熊旗舰店,4.82,4.32,4.46,2023-04-18 21:56:17.002
生鲜,【湾仔码头10包】海鲜水饺/玉米/白菜猪肉水饺汤圆煎饺 全家福S,99,17.00%,16.83,已售：409,结束：2023-05-31,2,,湾仔码头官方旗舰店,4.99,4.93,4.97,2023-04-18 21:56:17.104
生鲜,【都乐Dole】彩糯玉米棒单根200g 6根/10根  真空包装 代餐香糯 ,39.9,10.00%,3.99,已售：347,结束：2023-12-31,9,34,都乐Dole生鲜旗舰店,4.77,4.73,4.81,2023-04-18 21:56:17.240
生鲜,金汤酸菜鱼450g*3袋黑鱼冷冻食品鱼哈哈预制菜快手菜半成品菜,59.9,18.00%,10.78,已售：1123,结束：2024-03-12,,,鱼哈哈食品旗舰店,4.93,4.9,4.97,2023-04-18 21:56:17.351
生鲜,实惠5斤装云南沃柑应季水果新鲜采摘香甜爆汁皮薄肉厚坏果包赔,25.8,15.00%,3.87,已售：4.0万,结束：2023-12-11,7,,纤果有约个体店,4.28,4.87,4.63,2023-04-18 21:56:17.457
生鲜,新鲜深海海蜇丝250g*5包开袋即食爽脆海蜇头海蜇皮凉拌菜,29.9,28.00%,8.37,已售：514,结束：2023-06-30,18,,太空刺猬海味企业店,4.92,4.84,4.73,2023-04-18 21:56:17.577
生鲜,【宠粉福利】食在过瘾港式鱼丸20包40包烧烤味香辣味鲜嫩常温,9.9,15.00%,1.48,已售：1643,结束：2023-10-31,21,90,宝宝美食,4.83,4.96,4.67,2023-04-18 21:56:17.705
生鲜,干裙带菜韩式裙带菜干货免洗高泡鲜嫩严选出口品质宝宝裙带菜方便,29.9,50.00%,14.95,已售：10,结束：2023-04-30,,,珍香斋,4.47,4.99,4.69,2023-04-18 21:56:17.834
生鲜,【当季新鲜】长岛金钩海米海鲜虾米虾仁干爽有嚼劲海产 100克/罐,19.9,30.00%,5.97,已售：82,结束：2023-04-30,2,23,方可食海鲜,4.99,4.92,4.67,2023-04-18 21:56:17.974
生鲜,【提前下单到货现切】日本空运冰鲜蓝旗金枪鱼大脂腹O-toro非冷冻,298,10.00%,29.8,已售：39,结束：2025-02-28,,,QINGSHE SEAFOOD生鲜旗舰店,4.8,3.58,4.95,2023-04-18 21:56:18.105
生鲜,【主播推荐】逮虾记大颗粒鲜虾滑q弹半成品1周煲汤火锅丸子150克,149,25.00%,37.25,已售：1497,结束：2024-02-21,1,5,逮虾记官方旗舰店,4.99,4.99,4.99,2023-04-18 21:56:18.233
生鲜,【头茬】山东头茬羊角蜜甜瓜现摘新鲜水果蜜瓜脆甜多汁4.5斤脆嫩,49.9,20.00%,9.98,已售：240,结束：2023-12-31,,,鲜有志生鲜旗舰店,4.72,4.94,4.42,2023-04-18 21:56:18.367
生鲜,百鲜生小丸子爆烤丸火锅丸子关东煮麻辣烫烧烤油炸爆汁丸180克/袋,9.9,20.00%,1.98,已售：100,结束：2024-04-30,11,66,百鲜生速食旗舰店,4.97,4.89,4.82,2023-04-18 21:56:18.484
生鲜,big tummy肉小迪法式A级鹅肝冷冻新鲜独立包装婴儿童宝宝生鲜辅食,198,15.00%,29.7,已售：38,结束：2023-04-30,,,肉小迪big tummy母婴旗舰店,4.62,4.36,4.68,2023-04-18 21:56:18.622
生鲜,【大黄鲜森】安格斯原切谷饲精品牛脖骨5斤红烧炖肉烧烤带肉整根,99,15.00%,14.85,已售：22,结束：2023-11-30,,,大黄鲜森生鲜旗舰店,4.77,4.85,4.92,2023-04-18 21:56:18.774
生鲜,小川商店日本北海道冰鲜虾夷马粪海胆肉生食 250g（每周到货2次）,1488,10.00%,148.8,已售：3,结束：2025-02-28,,,QINGSHE SEAFOOD生鲜旗舰店,4.8,3.58,4.95,2023-04-18 21:56:18.893
生鲜,甘福园【爆甜多汁】海南金煌水仙芒果3/5斤 新鲜芒果当季热带水果,25.8,12.00%,3.1,已售：221,结束：2023-06-01,8,39,甘福园官方旗舰店,4.52,4.99,4.5,2023-04-18 21:56:18.981
生鲜,4斤潮汕肉卷章肉片潮汕特产火锅食材烧烤食材潮汕肉卷团购2000g,65.8,15.00%,9.87,已售：48,结束：2024-01-01,2,15,尚好丸牛肉丸,4.91,4.57,4.93,2023-04-18 21:56:19.081
生鲜,【佬味到甜品】潮汕特色甜品加热即食营养代餐 150g/碗,9.9,18.00%,1.78,已售：85,结束：2023-09-30,,,佬味到生鲜旗舰店,4.79,4.98,4.91,2023-04-18 21:56:19.182
生鲜,新疆伊犁哈尔毕腌菜厂！辣白菜五公斤大包装！,70,15.00%,10.5,已售：199,结束：2024-05-01,,,霍城县清水河镇哈尔毕腌菜厂,4.93,3.8,4.78,2023-04-18 21:56:19.281
生鲜,清真食品五香牛肉礼盒装225g*6袋,210,10.00%,21,已售：18,结束：2023-12-01,,,北舞渡闪国雨胡辣汤店,4.75,4.86,4.91,2023-04-18 21:56:19.387
生鲜,【海蓝厨房】海南速冻椰子水0脂清甜取纯罐装1000ml瓶装冷冻保存,49,20.00%,9.8,已售：493,结束：2023-12-01,5,14,海蓝厨房旗舰店,4.89,4.96,4.98,2023-04-18 21:56:19.486
生鲜,湖南特产农家手工火焙刁子鱼250g/500g叼子鱼烟熏小鱼干东江鱼,20.8,22.00%,4.58,已售：98,结束：2024-03-05,,,神犁食品旗舰店,4.77,4.61,4.97,2023-04-18 21:56:19.594
生鲜,【产地直发】福建漳州六鳌蜜薯 5斤装 香甜软糯食用农产品,23.9,18.00%,4.3,已售：49,结束：2024-01-04,,,喜鲜润生鲜旗舰店,4.68,4.78,4.51,2023-04-18 21:56:19.699
生鲜,钱江萧山萝卜干 500g 20g*25包 下饭菜酱菜咸菜榨菜开胃 杭州七宝,19.8,20.00%,3.96,已售：2002,结束：2023-12-31,13,,绍兴安昌古镇特产店,4.99,4.69,4.96,2023-04-18 21:56:19.828
生鲜,【助农链接】6斤农家大五星枇杷天然新鲜优质饱满肉厚鲜甜皮薄,19.99,27.00%,5.4,已售：27,结束：2023-06-30,,,金师姐厨娘生鲜旗舰店,4.74,4.79,4.02,2023-04-18 21:56:19.960
生鲜,拇指生煎包传统蒸迷你珍珠小笼包子半成品早餐皮薄爆汁方便速食,69.9,16.00%,11.18,已售：22,结束：2023-07-31,,,烈锤食品,4.89,4.88,4.67,2023-04-18 21:56:20.103
生鲜,【潮汕牛肉丸】4斤送粿条送酱料包正宗新鲜爆汁肉质实心鲜嫩劲道,98,37.00%,36.26,已售：908,结束：2028-07-29,1,4,汕头市潮栩牛肉丸食品商行,4.98,4.98,4.96,2023-04-18 21:56:20.220
生鲜,【性价比推荐】水果甜脐橙秭归玫瑰香橙新鲜多汁产地直发3/5/10斤,28.9,10.00%,2.89,已售：82,结束：2023-04-20,,,杰哥果园,4.79,4.72,4.44,2023-04-18 21:56:20.332
生鲜,水晶薄皮素包子小笼包早餐小吃灌汤包420g,28.8,25.00%,7.2,已售：1.3万,结束：2023-12-31,5,,七牛哥,4.91,4.97,4.93,2023-04-18 21:56:20.446
生鲜,纷扬酸菜鱼预制菜450g*3袋速食料理快手菜川味方便,59.9,20.00%,11.98,已售：11,结束：2023-04-30,,,纷扬生鲜旗舰店,4.98,4.81,4.41,2023-04-18 21:56:20.568
生鲜,安特鲁七哥0添加高蛋白烘焙动物黄油盘挞皮德式布丁盘挞288g/盒,29.9,20.00%,5.98,已售：780,结束：2023-12-31,,,安特鲁七哥烘焙旗舰店,4.74,4.75,4.9,2023-04-18 21:56:20.692
生鲜,王掌柜【顺丰包邮】洛川苹果国潮礼盒装年货送礼8/12粒5斤,59.9,20.00%,11.98,已售：618,结束：2023-04-30,,,王掌柜生鲜旗舰店,4.89,4.99,4.78,2023-04-18 21:56:20.825
生鲜,同庆楼酸菜黑鱼片380g*4 速冻免浆半成品方便速食预制菜-xy冷冻,119.9,20.00%,23.98,已售：619,结束：2024-02-01,,,同庆楼食品旗舰店,4.97,4.79,4.94,2023-04-18 21:56:20.948
